Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","418","Lao People's Democratic Republic","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2718","E","Estimated value"
"FBS","Food Balances (2010-)","428","Latvia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3280","E","Estimated value"
"FBS","Food Balances (2010-)","422","Lebanon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2893","E","Estimated value"
"FBS","Food Balances (2010-)","426","Lesotho","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2035","E","Estimated value"
"FBS","Food Balances (2010-)","430","Liberia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2097","E","Estimated value"
"FBS","Food Balances (2010-)","434","Libya","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3178","E","Estimated value"
"FBS","Food Balances (2010-)","440","Lithuania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3355","E","Estimated value"
"FBS","Food Balances (2010-)","442","Luxembourg","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3471","E","Estimated value"
"FBS","Food Balances (2010-)","450","Madagascar","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","1979","E","Estimated value"
"FBS","Food Balances (2010-)","454","Malawi","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2633","E","Estimated value"
"FBS","Food Balances (2010-)","458","Malaysia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2962","E","Estimated value"
"FBS","Food Balances (2010-)","462","Maldives","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2588","E","Estimated value"
"FBS","Food Balances (2010-)","466","Mali","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2734","E","Estimated value"
"FBS","Food Balances (2010-)","470","Malta","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3334","E","Estimated value"
"FBS","Food Balances (2010-)","478","Mauritania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2971","E","Estimated value"
"FBS","Food Balances (2010-)","480","Mauritius","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3063","E","Estimated value"
"FBS","Food Balances (2010-)","484","Mexico","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3278","E","Estimated value"
"FBS","Food Balances (2010-)","583","Micronesia (Federated States of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2754","E","Estimated value"
"FBS","Food Balances (2010-)","496","Mongolia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3052","E","Estimated value"
"FBS","Food Balances (2010-)","499","Montenegro","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3556","E","Estimated value"
"FBS","Food Balances (2010-)","504","Morocco","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3382","E","Estimated value"
"FBS","Food Balances (2010-)","508","Mozambique","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2170","E","Estimated value"
"FBS","Food Balances (2010-)","104","Myanmar","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2818","E","Estimated value"
"FBS","Food Balances (2010-)","516","Namibia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2564","E","Estimated value"
"FBS","Food Balances (2010-)","520","Nauru","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3034","E","Estimated value"
"FBS","Food Balances (2010-)","524","Nepal","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2945","E","Estimated value"
"FBS","Food Balances (2010-)","528","Netherlands (Kingdom of the)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3464","E","Estimated value"
"FBS","Food Balances (2010-)","540","New Caledonia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2940","E","Estimated value"
"FBS","Food Balances (2010-)","554","New Zealand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3128","E","Estimated value"
"FBS","Food Balances (2010-)","558","Nicaragua","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2654","E","Estimated value"
"FBS","Food Balances (2010-)","562","Niger","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2538","E","Estimated value"
"FBS","Food Balances (2010-)","566","Nigeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2503","E","Estimated value"
"FBS","Food Balances (2010-)","807","North Macedonia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3164","E","Estimated value"
"FBS","Food Balances (2010-)","578","Norway","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3509","E","Estimated value"
"FBS","Food Balances (2010-)","512","Oman","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3046","E","Estimated value"
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2485","E","Estimated value"
"FBS","Food Balances (2010-)","591","Panama","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3036","E","Estimated value"
"FBS","Food Balances (2010-)","598","Papua New Guinea","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2204","E","Estimated value"
"FBS","Food Balances (2010-)","600","Paraguay","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3125","E","Estimated value"
"FBS","Food Balances (2010-)","604","Peru","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2797","E","Estimated value"
"FBS","Food Balances (2010-)","608","Philippines","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2833","E","Estimated value"
"FBS","Food Balances (2010-)","616","Poland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3554","E","Estimated value"
"FBS","Food Balances (2010-)","620","Portugal","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3526","E","Estimated value"
"FBS","Food Balances (2010-)","634","Qatar","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3496","E","Estimated value"
"FBS","Food Balances (2010-)","410","Republic of Korea","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3398","E","Estimated value"
"FBS","Food Balances (2010-)","498","Republic of Moldova","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3027","E","Estimated value"
"FBS","Food Balances (2010-)","642","Romania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3665","E","Estimated value"
"FBS","Food Balances (2010-)","643","Russian Federation","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3382","E","Estimated value"
"FBS","Food Balances (2010-)","646","Rwanda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2268","E","Estimated value"
"FBS","Food Balances (2010-)","659","Saint Kitts and Nevis","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2868","E","Estimated value"
"FBS","Food Balances (2010-)","662","Saint Lucia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2649","E","Estimated value"
"FBS","Food Balances (2010-)","670","Saint Vincent and the Grenadines","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2951","E","Estimated value"
"FBS","Food Balances (2010-)","882","Samoa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3070","E","Estimated value"
"FBS","Food Balances (2010-)","678","Sao Tome and Principe","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2463","E","Estimated value"
"FBS","Food Balances (2010-)","682","Saudi Arabia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3250","E","Estimated value"
"FBS","Food Balances (2010-)","686","Senegal","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2793","E","Estimated value"
"FBS","Food Balances (2010-)","688","Serbia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3579","E","Estimated value"
"FBS","Food Balances (2010-)","690","Seychelles","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3187","E","Estimated value"
"FBS","Food Balances (2010-)","694","Sierra Leone","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2336","E","Estimated value"
"FBS","Food Balances (2010-)","703","Slovakia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2974","E","Estimated value"
"FBS","Food Balances (2010-)","705","Slovenia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3096","E","Estimated value"
"FBS","Food Balances (2010-)","090","Solomon Islands","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2346","E","Estimated value"
"FBS","Food Balances (2010-)","710","South Africa","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2776","E","Estimated value"
"FBS","Food Balances (2010-)","728","South Sudan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2414","E","Estimated value"
"FBS","Food Balances (2010-)","724","Spain","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3390","E","Estimated value"
"FBS","Food Balances (2010-)","144","Sri Lanka","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2860","E","Estimated value"
"FBS","Food Balances (2010-)","729","Sudan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2622","E","Estimated value"
"FBS","Food Balances (2010-)","740","Suriname","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2634","E","Estimated value"
"FBS","Food Balances (2010-)","752","Sweden","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3268","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3402","E","Estimated value"
"FBS","Food Balances (2010-)","760","Syrian Arab Republic","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2463","E","Estimated value"
"FBS","Food Balances (2010-)","762","Tajikistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2770","E","Estimated value"
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2856","E","Estimated value"
"FBS","Food Balances (2010-)","626","Timor-Leste","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2195","E","Estimated value"
"FBS","Food Balances (2010-)","768","Togo","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2533","E","Estimated value"
"FBS","Food Balances (2010-)","780","Trinidad and Tobago","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2938","E","Estimated value"
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3471","E","Estimated value"
"FBS","Food Balances (2010-)","792","Türkiye","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3825","E","Estimated value"
"FBS","Food Balances (2010-)","795","Turkmenistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2847","E","Estimated value"
"FBS","Food Balances (2010-)","800","Uganda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2123","E","Estimated value"
"FBS","Food Balances (2010-)","804","Ukraine","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2938","E","Estimated value"
"FBS","Food Balances (2010-)","784","United Arab Emirates","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3306","E","Estimated value"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3362","E","Estimated value"
"FBS","Food Balances (2010-)","834","United Republic of Tanzania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2380","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3911","E","Estimated value"
"FBS","Food Balances (2010-)","858","Uruguay","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3283","E","Estimated value"
"FBS","Food Balances (2010-)","860","Uzbekistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3267","E","Estimated value"
"FBS","Food Balances (2010-)","548","Vanuatu","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2819","E","Estimated value"
"FBS","Food Balances (2010-)","862","Venezuela (Bolivarian Republic of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2310","E","Estimated value"
"FBS","Food Balances (2010-)","704","Viet Nam","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3048","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2173","E","Estimated value"
"FBS","Food Balances (2010-)","894","Zambia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2220","E","Estimated value"
"FBS","Food Balances (2010-)","716","Zimbabwe","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2049","E","Estimated value"
